File,Symbol,Type,Date,Details
MOTHERSON.csv,MOTHERSON,Price Anomaly (Split/Unadjusted),2018-01-02,"Ratio: 2.32 (Prev: 93.26, Curr: 40.28)"
TMPV.csv,TMPV,Price Anomaly (Split/Unadjusted),2018-01-02,"Ratio: 2.52 (Prev: 256.16, Curr: 101.72)"
UNOMINDA.csv,UNOMINDA,Price Anomaly (Split/Unadjusted),2018-01-02,"Ratio: 3.89 (Prev: 211.82, Curr: 54.41)"
ABB.csv,ABB,Huge Date Gap,2019-12-19 to 2020-01-06,Gap of 18 days
APLAPOLLO.csv,APLAPOLLO,Price Anomaly (Split/Unadjusted),2018-01-02,"Ratio: 1.64 (Prev: 198.06, Curr: 120.88)"
BDL.csv,BDL,Huge Date Gap,2018-01-02 to 2018-03-23,Gap of 80 days
BEML.csv,BEML,Huge Date Gap,2022-09-07 to 2022-09-22,Gap of 15 days
BEML.csv,BEML,Price Anomaly (Split/Unadjusted),2019-06-28,"Ratio: 2.49 (Prev: 905.05, Curr: 362.98)"
CGPOWER.csv,CGPOWER,Huge Date Gap,2019-12-24 to 2020-02-13,Gap of 51 days
CGPOWER.csv,CGPOWER,Huge Date Gap,2020-09-01 to 2020-09-14,Gap of 13 days
CGPOWER.csv,CGPOWER,Huge Date Gap,2021-06-08 to 2021-09-13,Gap of 97 days
CGPOWER.csv,CGPOWER,Huge Date Gap,2021-09-15 to 2022-01-04,Gap of 111 days
CGPOWER.csv,CGPOWER,Price Anomaly (Split/Unadjusted),2019-02-13,"Ratio: 1.43 (Prev: 33.9, Curr: 23.7)"
HAL.csv,HAL,Huge Date Gap,2018-01-02 to 2018-03-28,Gap of 85 days
INOXWIND.csv,INOXWIND,Price Anomaly (Split/Unadjusted),2018-01-02,"Ratio: 1.91 (Prev: 35.81, Curr: 18.72)"
SUZLON.csv,SUZLON,Price Anomaly (Split/Unadjusted),2022-10-11,"Ratio: 4.25 (Prev: 7.65, Curr: 1.8)"
SUZLON.csv,SUZLON,Price Anomaly (Split/Unadjusted),2022-10-12,"Ratio: 1.57 (Prev: 1.8, Curr: 1.15)"
TITAGARH.csv,TITAGARH,Huge Date Gap,2022-09-12 to 2022-12-06,Gap of 85 days
TITAGARH.csv,TITAGARH,Price Anomaly (Split/Unadjusted),2018-01-02,"Ratio: 2.08 (Prev: 168.35, Curr: 80.75)"
AARTIIND.csv,AARTIIND,Huge Date Gap,2019-07-02 to 2019-07-17,Gap of 15 days
AARTIIND.csv,AARTIIND,Price Anomaly (Split/Unadjusted),2018-01-03,"Ratio: 2.28 (Prev: 548.14, Curr: 240.7)"
IRB.csv,IRB,Price Anomaly (Split/Unadjusted),2024-08-30,"Ratio: 3.44 (Prev: 217.93, Curr: 63.35)"
INDIACEM.csv,INDIACEM,Price Anomaly (Split/Unadjusted),2021-10-01,"Ratio: 15.38 (Prev: 3107.75, Curr: 202.0)"
INDIACEM.csv,INDIACEM,Price Anomaly (Split/Unadjusted),2025-12-17,"Ratio: 12.75 (Prev: 5624.0, Curr: 441.05)"
JKCEMENT.csv,JKCEMENT,Price Anomaly (Split/Unadjusted),2018-01-02,"Ratio: 1.53 (Prev: 1113.7, Curr: 727.15)"
AMBER.csv,AMBER,Huge Date Gap,2018-01-02 to 2018-01-30,Gap of 28 days
DIXON.csv,DIXON,Price Anomaly (Split/Unadjusted),2018-01-02,"Ratio: 2.08 (Prev: 837.51, Curr: 402.11)"
PGEL.csv,PGEL,Huge Date Gap,2020-09-23 to 2020-11-10,Gap of 48 days
PGEL.csv,PGEL,Huge Date Gap,2021-02-10 to 2021-04-27,Gap of 76 days
PGEL.csv,PGEL,Huge Date Gap,2022-06-20 to 2022-09-13,Gap of 85 days
PGEL.csv,PGEL,Price Anomaly (Split/Unadjusted),2018-01-02,"Ratio: 4.28 (Prev: 41.68, Curr: 9.73)"
ABFRL.csv,ABFRL,Price Anomaly (Split/Unadjusted),2020-07-08,"Ratio: 5.50 (Prev: 46.08, Curr: 8.38)"
ABFRL.csv,ABFRL,Price Anomaly (Split/Unadjusted),2020-07-13,"Ratio: 8.05 (Prev: 44.14, Curr: 5.48)"
ABFRL.csv,ABFRL,Price Anomaly (Split/Unadjusted),2020-07-16,"Ratio: 14.52 (Prev: 42.12, Curr: 2.9)"
DMART.csv,DMART,Huge Date Gap,2020-03-03 to 2020-05-27,Gap of 85 days
GODFRYPHLP.csv,GODFRYPHLP,Price Anomaly (Split/Unadjusted),2019-06-28,"Ratio: 3.01 (Prev: 833.75, Curr: 276.95)"
NESTLEIND.csv,NESTLEIND,Price Anomaly (Split/Unadjusted),2024-01-05,"Ratio: 10.21 (Prev: 27293.75, Curr: 2673.2)"
NESTLEIND.csv,NESTLEIND,Price Anomaly (Split/Unadjusted),2025-08-08,"Ratio: 2.04 (Prev: 2244.3, Curr: 1100.0)"
TATACONSUM.csv,TATACONSUM,Price Anomaly (Split/Unadjusted),2018-01-02,"Ratio: 1.46 (Prev: 309.06, Curr: 211.97)"
UNITDSPR.csv,UNITDSPR,Price Anomaly (Split/Unadjusted),2018-01-02,"Ratio: 5.66 (Prev: 734.63, Curr: 129.82)"
ABCAPITAL.csv,ABCAPITAL,Price Anomaly (Split/Unadjusted),2018-01-02,"Ratio: 1.88 (Prev: 186.4, Curr: 99.25)"
BANDHANBNK.csv,BANDHANBNK,Huge Date Gap,2018-01-02 to 2018-03-27,Gap of 84 days
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-02-23,"Ratio: 569.74 (Prev: 108.25, Curr: 0.19)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-03-03,"Ratio: 391.96 (Prev: 101.91, Curr: 0.26)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-03-23,"Ratio: 471.91 (Prev: 103.82, Curr: 0.22)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-03-27,"Ratio: 500.05 (Prev: 105.01, Curr: 0.21)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-04-05,"Ratio: 517.19 (Prev: 108.61, Curr: 0.21)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-04-17,"Ratio: 497.39 (Prev: 114.4, Curr: 0.23)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-04-21,"Ratio: 488.35 (Prev: 112.32, Curr: 0.23)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-04-25,"Ratio: 487.78 (Prev: 112.19, Curr: 0.23)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-05-03,"Ratio: 485.13 (Prev: 111.58, Curr: 0.23)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-05-12,"Ratio: 505.05 (Prev: 111.11, Curr: 0.22)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-05-23,"Ratio: 564.57 (Prev: 118.56, Curr: 0.21)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-05-29,"Ratio: 616.53 (Prev: 117.14, Curr: 0.19)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-06-02,"Ratio: 637.47 (Prev: 121.12, Curr: 0.19)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-06-27,"Ratio: 657.39 (Prev: 118.33, Curr: 0.18)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-07-04,"Ratio: 662.33 (Prev: 119.22, Curr: 0.18)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-07-07,"Ratio: 654.67 (Prev: 117.84, Curr: 0.18)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-07-13,"Ratio: 679.61 (Prev: 122.33, Curr: 0.18)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-07-17,"Ratio: 691.78 (Prev: 124.52, Curr: 0.18)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-07-21,"Ratio: 672.33 (Prev: 121.02, Curr: 0.18)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-08-03,"Ratio: 658.78 (Prev: 118.58, Curr: 0.18)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-08-17,"Ratio: 803.50 (Prev: 112.49, Curr: 0.14)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-08-23,"Ratio: 858.62 (Prev: 111.62, Curr: 0.13)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-08-30,"Ratio: 640.35 (Prev: 108.86, Curr: 0.17)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-09-22,"Ratio: 751.80 (Prev: 112.77, Curr: 0.15)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-10-04,"Ratio: 684.81 (Prev: 109.57, Curr: 0.16)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-10-13,"Ratio: 778.21 (Prev: 108.95, Curr: 0.14)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-10-25,"Ratio: 719.93 (Prev: 107.99, Curr: 0.15)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-10-27,"Ratio: 686.88 (Prev: 109.9, Curr: 0.16)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-11-01,"Ratio: 647.35 (Prev: 110.05, Curr: 0.17)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-11-09,"Ratio: 640.18 (Prev: 108.83, Curr: 0.17)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-11-15,"Ratio: 675.38 (Prev: 108.06, Curr: 0.16)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-11-21,"Ratio: 667.81 (Prev: 106.85, Curr: 0.16)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-11-27,"Ratio: 698.80 (Prev: 104.82, Curr: 0.15)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-11-29,"Ratio: 694.67 (Prev: 104.2, Curr: 0.15)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-12-06,"Ratio: 731.71 (Prev: 102.44, Curr: 0.14)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-12-13,"Ratio: 670.67 (Prev: 100.6, Curr: 0.15)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2017-12-28,"Ratio: 632.62 (Prev: 101.22, Curr: 0.16)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-01-02,"Ratio: 1.56 (Prev: 103.44, Curr: 66.51)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-01-04,"Ratio: 578.00 (Prev: 104.04, Curr: 0.18)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-01-09,"Ratio: 530.10 (Prev: 106.02, Curr: 0.2)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-01-12,"Ratio: 550.00 (Prev: 104.5, Curr: 0.19)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-01-17,"Ratio: 580.06 (Prev: 104.41, Curr: 0.18)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-01-19,"Ratio: 602.29 (Prev: 102.39, Curr: 0.17)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-01-31,"Ratio: 623.75 (Prev: 99.8, Curr: 0.16)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-02-06,"Ratio: 655.57 (Prev: 91.78, Curr: 0.14)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-02-19,"Ratio: 601.27 (Prev: 90.19, Curr: 0.15)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-03-05,"Ratio: 635.43 (Prev: 88.96, Curr: 0.14)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-03-09,"Ratio: 655.54 (Prev: 85.22, Curr: 0.13)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-03-14,"Ratio: 680.15 (Prev: 88.42, Curr: 0.13)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-03-21,"Ratio: 654.23 (Prev: 85.05, Curr: 0.13)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-03-23,"Ratio: 681.50 (Prev: 81.78, Curr: 0.12)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-04-03,"Ratio: 858.10 (Prev: 85.81, Curr: 0.1)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-04-17,"Ratio: 836.45 (Prev: 92.01, Curr: 0.11)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-05-03,"Ratio: 1293.29 (Prev: 90.53, Curr: 0.07)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-05-07,"Ratio: 1298.86 (Prev: 90.92, Curr: 0.07)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-05-28,"Ratio: 1020.56 (Prev: 91.85, Curr: 0.09)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-07-16,"Ratio: 1851.20 (Prev: 92.56, Curr: 0.05)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-08-13,"Ratio: 2187.25 (Prev: 87.49, Curr: 0.04)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-09-03,"Ratio: 2055.00 (Prev: 82.2, Curr: 0.04)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-10-01,"Ratio: 2530.00 (Prev: 75.9, Curr: 0.03)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-10-08,"Ratio: 2452.33 (Prev: 73.57, Curr: 0.03)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-10-22,"Ratio: 1746.75 (Prev: 69.87, Curr: 0.04)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-10-29,"Ratio: 1660.50 (Prev: 66.42, Curr: 0.04)"
BSE.csv,BSE,Price Anomaly (Split/Unadjusted),2018-11-26,"Ratio: 2222.33 (Prev: 66.67, Curr: 0.03)"
CDSL.csv,CDSL,Huge Date Gap,2021-07-20 to 2021-10-25,Gap of 97 days
CDSL.csv,CDSL,Price Anomaly (Split/Unadjusted),2018-01-02,"Ratio: 1.55 (Prev: 174.8, Curr: 112.67)"
CHOLAFIN.csv,CHOLAFIN,Price Anomaly (Split/Unadjusted),2020-03-23,"Ratio: 1.42 (Prev: 192.25, Curr: 135.1)"
HDFCAMC.csv,HDFCAMC,Huge Date Gap,2018-01-02 to 2018-08-06,Gap of 216 days
HUDCO.csv,HUDCO,Price Anomaly (Split/Unadjusted),2018-11-30,"Ratio: 5.78 (Prev: 248.55, Curr: 43.0)"
IEX.csv,IEX,Price Anomaly (Split/Unadjusted),2018-01-02,"Ratio: 9.78 (Prev: 53.61, Curr: 5.48)"
IEX.csv,IEX,Price Anomaly (Split/Unadjusted),2025-07-24,"Ratio: 1.41 (Prev: 187.98, Curr: 133.64)"
IIFL.csv,IIFL,Huge Date Gap,2017-10-16 to 2017-11-01,Gap of 16 days
IIFL.csv,IIFL,Huge Date Gap,2019-05-29 to 2019-06-14,Gap of 16 days
IIFL.csv,IIFL,Huge Date Gap,2021-06-08 to 2021-09-13,Gap of 97 days
IIFL.csv,IIFL,Huge Date Gap,2021-10-11 to 2021-10-25,Gap of 14 days
IIFL.csv,IIFL,Price Anomaly (Split/Unadjusted),2019-06-14,"Ratio: 2.62 (Prev: 417.45, Curr: 159.59)"
IIFL.csv,IIFL,Price Anomaly (Split/Unadjusted),2024-04-30,"Ratio: 4.31 (Prev: 412.55, Curr: 95.65)"
IIFL.csv,IIFL,Price Anomaly (Split/Unadjusted),2024-05-06,"Ratio: 4.86 (Prev: 401.35, Curr: 82.6)"
MFSL.csv,MFSL,Price Anomaly (Split/Unadjusted),2020-03-23,"Ratio: 1.41 (Prev: 406.75, Curr: 288.4)"
NAM-INDIA.csv,NAM-INDIA,Price Anomaly (Split/Unadjusted),2018-01-02,"Ratio: 1.90 (Prev: 300.85, Curr: 158.5)"
NAM-INDIA.csv,NAM-INDIA,Price Anomaly (Split/Unadjusted),2024-09-11,"Ratio: 3.98 (Prev: 674.2, Curr: 169.55)"
PNBHOUSING.csv,PNBHOUSING,Huge Date Gap,2021-06-10 to 2021-09-13,Gap of 95 days
PNBHOUSING.csv,PNBHOUSING,Price Anomaly (Split/Unadjusted),2018-01-02,"Ratio: 1.45 (Prev: 1103.09, Curr: 761.85)"
PNBHOUSING.csv,PNBHOUSING,Price Anomaly (Split/Unadjusted),2023-04-19,"Ratio: 3.26 (Prev: 412.8, Curr: 126.5)"
POONAWALLA.csv,POONAWALLA,Huge Date Gap,2021-06-08 to 2021-09-13,Gap of 97 days
POONAWALLA.csv,POONAWALLA,Huge Date Gap,2021-09-15 to 2021-09-27,Gap of 12 days
POONAWALLA.csv,POONAWALLA,Price Anomaly (Split/Unadjusted),2018-01-02,"Ratio: 1.50 (Prev: 160.45, Curr: 106.95)"
SAMMAANCAP.csv,SAMMAANCAP,Price Anomaly (Split/Unadjusted),2018-01-02,"Ratio: 1.45 (Prev: 1085.84, Curr: 750.81)"
SAMMAANCAP.csv,SAMMAANCAP,Price Anomaly (Split/Unadjusted),2019-09-30,"Ratio: 1.52 (Prev: 347.73, Curr: 228.11)"
SAMMAANCAP.csv,SAMMAANCAP,Price Anomaly (Split/Unadjusted),2020-03-19,"Ratio: 1.51 (Prev: 120.74, Curr: 80.0)"
SAMMAANCAP.csv,SAMMAANCAP,Price Anomaly (Split/Unadjusted),2024-07-29,"Ratio: 5.75 (Prev: 973.5, Curr: 169.17)"
YESBANK.csv,YESBANK,Price Anomaly (Split/Unadjusted),2017-09-21,"Ratio: 4.99 (Prev: 1880.8, Curr: 376.65)"
YESBANK.csv,YESBANK,Price Anomaly (Split/Unadjusted),2018-09-21,"Ratio: 1.41 (Prev: 320.2, Curr: 227.35)"
YESBANK.csv,YESBANK,Price Anomaly (Split/Unadjusted),2019-04-30,"Ratio: 1.42 (Prev: 238.7, Curr: 167.75)"
YESBANK.csv,YESBANK,Price Anomaly (Split/Unadjusted),2020-03-06,"Ratio: 3.39 (Prev: 32.7, Curr: 9.65)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2019-06-28,"Ratio: 1.50 (Prev: 954.7, Curr: 637.2)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2020-03-02,"Ratio: 300.79 (Prev: 923.43, Curr: 3.07)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2020-04-20,"Ratio: 66.50 (Prev: 902.43, Curr: 13.57)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2020-04-27,"Ratio: 70.94 (Prev: 962.67, Curr: 13.57)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2020-05-04,"Ratio: 73.06 (Prev: 991.47, Curr: 13.57)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2020-05-11,"Ratio: 71.43 (Prev: 969.33, Curr: 13.57)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2020-05-18,"Ratio: 73.54 (Prev: 998.0, Curr: 13.57)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2020-05-26,"Ratio: 74.29 (Prev: 1008.17, Curr: 13.57)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2020-06-01,"Ratio: 74.87 (Prev: 1015.97, Curr: 13.57)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2020-06-08,"Ratio: 68.62 (Prev: 976.47, Curr: 14.23)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2020-06-15,"Ratio: 65.10 (Prev: 972.0, Curr: 14.93)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2020-06-22,"Ratio: 64.81 (Prev: 967.67, Curr: 14.93)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2020-06-29,"Ratio: 64.60 (Prev: 964.5, Curr: 14.93)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2020-07-06,"Ratio: 62.96 (Prev: 939.97, Curr: 14.93)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2020-07-13,"Ratio: 63.42 (Prev: 946.9, Curr: 14.93)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2020-07-20,"Ratio: 65.23 (Prev: 973.9, Curr: 14.93)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2020-07-27,"Ratio: 67.73 (Prev: 1011.17, Curr: 14.93)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2020-08-03,"Ratio: 72.75 (Prev: 1086.13, Curr: 14.93)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2020-08-10,"Ratio: 72.03 (Prev: 1128.73, Curr: 15.67)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2020-08-17,"Ratio: 69.34 (Prev: 1086.6, Curr: 15.67)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2020-08-24,"Ratio: 69.02 (Prev: 1081.5, Curr: 15.67)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2020-08-31,"Ratio: 66.80 (Prev: 1046.73, Curr: 15.67)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2020-09-07,"Ratio: 63.34 (Prev: 992.5, Curr: 15.67)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2020-09-14,"Ratio: 64.01 (Prev: 1003.07, Curr: 15.67)"
AJANTPHARM.csv,AJANTPHARM,Price Anomaly (Split/Unadjusted),2023-06-12,"Ratio: 12.31 (Prev: 1455.1, Curr: 118.25)"
